;Quote;Krant;Periode
8100;Er is een overload aan nieuws. Als algoritmes een selectie maken, heb je meer tijd om je te verdiepen in plaats van erdoorheen te kammen.;NRC Handelsblad;2020-2024
8101;Ja, er zijn risico's, erkent de hoogleraar informatierecht aan de Universiteit van Amsterdam (UvA), zoals privacyschending.;NRC Handelsblad;2020-2024
8102;Maar als algoritmes tot filterbubbels leiden, is het slecht ontworpen;NRC Handelsblad;2020-2024
8103;Ik omarm meerstemmigheid, zonder de complexiteit ervan te ontkennen. Sommigen van ons, die op posities zitten waar zij zelden worden bevraagd, verwarren het diepe ongemak dat bij meerstemmigheid hoort met onveiligheid [...], maar we zullen moeten wennen aan dat ongemak aan tafel.;NRC Handelsblad;2020-2024
8104;Ja, een ontwikkeling waar ik huiverig voor ben is dat er steeds meer beslissingen worden uitbesteed aan algoritmes. Kom je in aanmerking voor een lening? Is er aanleiding om te denken dat je fraude pleegt of een crimineel bent? Kan je al worden ontslagen uit de intensive care of is het beter om nog even te blijven liggen? Een algoritme dat beslist of een patiënt uit de intensive care kan worden ontslagen kan bijvoorbeeld worden getraind op bestaande data over patiënten die door artsen zijn ontslagen. Het probleem is dat wanneer de artsen goed hun werk hebben gedaan, dit algoritme bijna geen voorbeelden te zien krijgt van gevallen waarin het fout gaat. Omdat het algoritme alleen naar correlaties kijkt, kan het hierdoor heel basale fouten maken. Als je een algoritme wilt trainen om beslissingen te nemen krijg je altijd vertekeningen in de data. Het mooie is dat we met causale methodes kunnen corrigeren voor dat soort vertekeningen.;NRC Handelsblad;2020-2024
8105;Wat we bij het Berkeley-voorbeeld met zekerheid kunnen zeggen is dat er binnen de data geen bewijs is voor discriminatie. Er kan nog steeds wel sprake zijn van discriminatie, maar uit deze data blijkt dat niet. In het algemeen is een van de lastige dingen in dit vakgebied dat het vaak moeilijk is om te bewijzen dat zo'n wiskundige causale methode werkt. Want vaak weten we ook niet met zekerheid wat de causale relaties precies zijn. De enige manier om erachter te komen dat een causale voorspelling klopt is als je ook zelf verandering kan aanbrengen om te testen wat de gevolgen zijn van zo'n verandering. We hebben maar één Berkeley in de jaren 70, daar is nu niets meer aan te veranderen. Een andere causale methode heb ik wel kunnen verifiëren met data van een onderzoek naar gistcellen. In Utrecht hebben wetenschappers onderzocht hoe verschillende genen in die cellen invloed op elkaar hebben. Vijf jaar lang hebben robots daar allerlei experimenten op die cellen uitgevoerd. Wij hebben toen met een deel van de data voorspeld dat een bepaald gen effect had op een ander gen. En toen hebben we met de data die later waren verzameld, nadat de onderzoekers iets hadden veranderd, de voorspelling kunnen verifiëren. Maar zo'n onderzoek kost miljoenen. Het is heel moeilijk om meer van dit soort datasets te vinden. Ik ben nu een samenwerking aangegaan met Booking.com waar ze willen bekijken wat bijvoorbeeld het effect is van het bovenaan zetten van bepaalde advertenties, . Dit kan ik dan gebruiken om mijn causale methodes te testen;NRC Handelsblad;2020-2024
8106;We hebben nu nog geen algoritme ontwikkeld dat zelf deze methode kan toepassen. Het is nu nog een kwestie van mensenwerk. Maar in principe willen we zulke algoritmes wel maken. Zo kunnen we dan machine learning-technieken verbeteren, doordat ze zelf verschillende hypothetische causale scenario's kunnen bedenken, testen met de data, en zo zoeken naar causale verbanden. In principe is een groot deel van de vragen in de wetenschap, maar ook in de maatschappij, causaal. Maar deze vorm van machine learning die naar causale verbanden zoekt zal denk ik vooral geschikt zijn voor vragen binnen bijvoorbeeld de biologie en de economie. Bij biologie heb je heel complexe causale systemen, zoals de genen van die gistcellen. De causale verbanden tussen die gistcellen onderzoeken zonder machine learning is gewoon niet te doen. Dan moet iemand zelf 25 miljoen genenparen gaan bekijken. Het is echt zoeken naar een speld in een hooiberg;NRC Handelsblad;2020-2024
8107;Oeh, een definitie geven van causaliteit is echt lastig. Daar breken filosofen en wetenschappers zich al eeuwen het hoofd over. Het is een beetje als wanneer je een definitie wilt geven van andere fundamentele concepten, zoals tijd of ruimte. Als je me toch vraagt om een zo goed mogelijke definitie te geven, dan zou je kunnen zeggen dat A een oorzaak is van B als een verstoring van buitenaf die de waarde van A verandert, ook de waarde van B verandert of tot een verhoogde kans leidt dat de waarde van B verandert. Een preciezere definitie geven is ontzettend moeilijk. Maar wat we wel kunnen doen is wiskundige objecten bestuderen die een goed model vormen van causaliteit. Wiskundige definities kunnen dus misschien dat concept goed vangen;NRC Handelsblad;2020-2024
8108;Je ziet dus heel vaak dat het misgaat, ook in de krantenkoppen bijvoorbeeld, dan is er misschien een correlatie aangetoond maar dan interpreteer je het zelf vaak snel als een causaal verband.;NRC Handelsblad;2020-2024
8109;Een associatie vinden in data is heel rechttoe-rechtaan. Maar causaliteit is lastiger.;NRC Handelsblad;2020-2024
8110;Lange tijd bestond er bij statistiek het idee dat causaliteit daar niet bij hoorde. Pearson, een van de grondleggers van de statistiek, heeft er altijd heel erg op gehamerd dat je met statistiek echt alleen moet proberen om correlaties aan te tonen. De stap naar causaliteit was nog niet zo duidelijk en dat liet men liever over aan domeinexperts. Het is nu nog steeds geen standaard onderdeel van de statistiek. Het is bijvoorbeeld nog niet inbegrepen bij het introductievak statistiek dat wiskundestudenten krijgen. Wat mij betreft hoort causaliteit er wel echt bij, want het gaat ook over het interpreteren van data met behulp van kansrekening. Bij AI en informatica is causaliteit ook nog vrij nieuw. Toen ik tien jaar geleden begon en voorstelde om een vak te geven over causaliteit bij informatica werd dat nog direct weggewuifd. En nu hebben ze geloof ik drie vakken over causaliteit. Het is ook pas vrij recent binnen de machine learning-gemeenschap duidelijk geworden dat causale vragen heel belangrijk zijn;NRC Handelsblad;2020-2024
8111;Machine learning is de aanpak die de laatste tien jaar dominant is geworden binnen AI. Maar in principe is het ook gewoon een vorm van statistiek. Machine learning-algoritmes gaan op zoek naar patronen in data. Je kunt bijvoorbeeld een algoritme ontwikkelen dat voorspelt wat voor weer het morgen wordt op basis van het weer van de afgelopen week. Dat is dan getraind op hoe het weer in het verleden is geweest. Maar het zal geen echte causale voorspelling doen. ausal AI is inmiddels een hype geworden. Machine learning wordt steeds meer toegepast, en er is ook steeds meer data beschikbaar. Nu komen we erachter dat voor sommige vragen de standaard machine learning eigenlijk niet zo goed werkt. Als een algoritme bijvoorbeeld wordt getraind in één setting en gebruikt in een andere, kan het helemaal misgaan. Als er bijvoorbeeld een keer een week is met gek weer dat het algoritme nooit eerder heeft gezien, kan het een foute voorspelling doen.;NRC Handelsblad;2020-2024
8112;Ik ben nu een paper aan het schrijven over een methode waarmee we kunnen aantonen dat er geen duidelijk bewijs van discriminatie was bij een bekende dataset uit 1973 van het University College Berkeley in Californië. Uit die data bleek dat er een correlatie was tussen gender en de kans dat je werd toegelaten voor een opleiding. Voor vrouwen was de kans lager dan voor mannen. Om te kijken of er echt sprake is van een causaal verband tussen gender en toelatingskans, kan je kijken naar de hypothetische verklaringen die er zijn voor de data. Eén verklaring is dat de toelatingscommissie echt een voorkeur had voor mannelijke studenten. Maar een andere verklaring is bijvoorbeeld dat er een tussenliggende variabele is waar gender invloed op heeft en waardoor de kans kleiner is dat studenten worden aangenomen. In dit geval kan het tweede scenario de data verklaren. En er bleek inderdaad ook een tussenliggende oorzaak te zijn, namelijk het departement waar studenten zich voor aanmelden. Doordat vrouwen zich vaker aanmeldden voor studies zoals geesteswetenschappen, waar het in Berkeley moeilijker was om aangenomen te worden, hadden ze een kleinere kans om aangenomen te worden. Maar gender is dan dus niet de directe oorzaak;NRC Handelsblad;2020-2024
8113;Een paar docenten vroegen ons: gaan onze leerlingen dit gebruiken? Binnen twee weken, zei ik. Als ik dit tijdens mijn schooltijd tot mijn beschikking had, had ik het ook gebruikt.;NRC Handelsblad;2020-2024
8114;Een paar docenten vroegen ons: gaan onze leerlingen dit gebruiken? Binnen twee weken, zei ik. Als ik dit tijdens mijn schooltijd tot mijn beschikking had, had ik het ook gebruikt.;NRC Handelsblad;2020-2024
8115;Bij ons thuis gaat het er al de hele week over;NRC Handelsblad;2020-2024
8116;Mijn dochter vond de woorden in de te moeilijk. Dat gelooft de meester nooit, zei ze. Toen hebben we ChatGPT gevraagd het wat simpeler te formuleren. Daar zou de meester wel intrappen, dacht m'n dochter. En dat bleek te kloppen. Met een paar trucs maak je de chatbot geloofwaardiger. Je kunt spelfouten laten toevoegen om de tekst minder perfect te laten lijken.;NRC Handelsblad;2020-2024
8117;Als je wat ingewikkelder prompts - opdrachten - geeft, gaat de chatbot dingen verzinnen. Je kunt er bijvoorbeeld referenties in laten zetten, maar die kloppen niet altijd. Dan verwijst ChatGPT als bron naar mensen die wel op een universiteit werken, maar een hele andere expertise hebben;NRC Handelsblad;2020-2024
8118;ChatGPT is een hulpmiddel om informatie te zoeken. Het is makkelijker dan googelen, omdat je de informatie op je eigen niveau kunt laten weergeven. Maar bij het vak Mediawijsheid leren we kinderen dat ze de bron moeten kennen om informatie in te schatten. En dat kan bij ChatGPT niet.;NRC Handelsblad;2020-2024
8119;Met ChatGPT kun je ook makkelijk programmeren, bijvoorbeeld voor statistisch programma 'R' dat veel in de academische wereld gebruikt wordt. Maar je hebt nog altijd echte programmeurs nodig, mensen met kennis, om te beoordelen of het klopt. Dat geldt ook voor taal, een veel algemenere vaardigheid dan programmeren;NRC Handelsblad;2020-2024
8120;Vergelijk het maar met een rekenmachine. Daar mag je als leerling gebruik van maken, maar er is nog altijd rekenkundig inzicht nodig om een vraag goed te beantwoorden;NRC Handelsblad;2020-2024
8121;Veel kinderen die van de basisschool komen, kunnen nu al niet goed genoeg rekenen en ze lezen te weinig. Voor taal is ook basiskennis nodig. Stel je voor dat we zeggen: laat alles door AI genereren en pas het een beetje aan. Als niemand nog originele stukken schrijft, komt er geen nieuwe kennis meer bij.;NRC Handelsblad;2020-2024
8122;Tussen een stapel met dertig werkstukken valt dat echt niet op. Je kunt AI wel trainen om AI te herkennen, door met een taalmodel te testen: hoe waarschijnlijk is het dat deze woorden bij elkaar staan?;NRC Handelsblad;2020-2024
8123;Docenten moeten beter nadenken over welke opdrachten ze geven. Een essay schrijven is in veel gevallen niet de juiste manier om kennis en begrip te testen. Dat betekent dat je mondelinge overhoringen of spreekbeurten moet geven. Die zijn minder makkelijk te hacken;NRC Handelsblad;2020-2024
8124;Er zit nu al plagiaatcontrole ingebouwd in onderwijssoftware. Dan verschijnt er een vlaggetje als een tekst te veel overlapt met tekst op internet. Maar dat werkt bij ChatGPT niet, omdat dat unieke teksten zijn. Je kunt wel werkstukken in speciale software laten tikken die kan zien of de tekst snel gekopieerd is. Of huiswerk in de klas laten maken, onder toezicht. Je kunt weer handgeschreven werkstukken eisen, maar het kost tijd om al die handschriften te ontcijferen.;NRC Handelsblad;2020-2024
8125;Je zou de chatbot kunnen inzetten om hogere taalvaardigheden als tekstanalyse en kritisch denken te oefenen. Maar als het doel is te leren schrijven, goede zinnen te maken, dan niet: dan doet ChatGPT precies wat jij zou moeten leren;NRC Handelsblad;2020-2024
8126;Het is belangrijk om zelf je huiswerk te maken en te begrijpen wat je leert. it is niet alleen belangrijk voor je prestaties op school, maar ook voor je persoonlijke ontwikkeling en je toekomst;NRC Handelsblad;2020-2024
8127;Veel van deze mensen hebben aanzienlijk minder klachten dan voorheen;NRC Handelsblad;2020-2024
8128;Met kunstmatige intelligentie proberen we computers te leren dit onderscheid te maken;NRC Handelsblad;2020-2024
8129;We zijn nog niet zo ver, maar die kant gaat het zeker op;NRC Handelsblad;2020-2024
8130;Dat is het lastige in de wetenschap. Het herhalen van experimenten is niet zo sexy als zelf iets nieuws verzinnen;NRC Handelsblad;2020-2024
8131;Het immunologische profiel van elke patiënt is anders;NRC Handelsblad;2020-2024
8132;Daarom heb je vaak te weinig patiënten in een studie om statistisch sterk te staan. Dat is de reden dat we graag samenwerken in grote Europese projecten: dan kun je patiëntgroepen samenvoegen;NRC Handelsblad;2020-2024
8133;Daar werken we in Nijmegen aan;NRC Handelsblad;2020-2024
8134;We zijn nog niet zover, maar uiteindelijk willen we elke patiënt een behandeling op maat kunnen bieden;NRC Handelsblad;2020-2024
8135;Deze aandoening kent veel verschijningsvormen;NRC Handelsblad;2020-2024
8136;Psoriasis is niet te genezen, maar wel te behandelen. Er bestaan al veel medicijnen waar mensen baat bij hebben;NRC Handelsblad;2020-2024
8137;Tegenwoordig zien we het meer als een systeemziekte, waarbij het immuunsysteem een centrale rol speelt;NRC Handelsblad;2020-2024
8138;Psoriasis heeft een grote invloed op de kwaliteit van leven;NRC Handelsblad;2020-2024
8139;Mensen ervaren veel fysiek maar ook sociaal ongemak. We hebben patiënten die nauwelijks meer naar buiten durven;NRC Handelsblad;2020-2024
8140;Het is een kwestie van trial and error;NRC Handelsblad;2020-2024
8141;Vroeger zagen veel artsen psoriasis alleen als een huidaandoening;NRC Handelsblad;2020-2024
8142;Veel van onze patiënten hebben ook gewrichtsontstekingen, suikerziekte, hart- en vaatziekten, overgewicht en depressie;NRC Handelsblad;2020-2024
8143;Maar wat daarbij precies oorzaak en gevolg is, weten we niet. Daarom werken verschillende specialismen samen bij onderzoek en behandeling;NRC Handelsblad;2020-2024
8144;Die stoffen onderdrukken bepaalde aspecten van het immuunsysteem. Sinds 2005 is er een nieuwe groep medicijnen op de markt, de biologics. Die hebben een revolutie teweeggebracht in de behandeling.;NRC Handelsblad;2020-2024
8145;Maar ze zijn wel veel duurder;NRC Handelsblad;2020-2024
8146;Soms tot wel enkele tienduizenden euro's per patiënt per jaar. Daarom hebben ook de klassieke medicijnen nog een plek in de behandeling. Er zijn patiënten die daarmee prima geholpen zijn;NRC Handelsblad;2020-2024
8147;Maar het gaat absoluut gebeuren, dat typeren op basis van biomarkerprofielen;NRC Handelsblad;2020-2024
8148;Het is een indrukwekkend systeem, zo wordt er ook over gedacht binnen het vakgebied van computationele argumentatie. Ik zag er eerder presentaties over op conferenties, dit is een van de drijvende krachten in het veld van argument mining.;NRC Handelsblad;2020-2024
8149;Maar dit artikel is teleurstellend. Ik had gehoopt op een uitgebreidere wetenschappelijke evaluatie;NRC Handelsblad;2020-2024
8150;De vraag over hoe je de prestaties van dit soort kunstmatige-intelligentietoepassingen evalueert, is een hot topic. Hoe ze evalueerden, blijft hier heel algemeen. Ik weet nu niet of de evaluatoren iets moesten zeggen over taalkundige fouten of over coherentie. Misschien raak ik nog onder de indruk als ik de bijlagen bij dit onderzoek zie, maar nu ben ik dat nog niet.;NRC Handelsblad;2020-2024
8151;Hoe ze evalueerden, blijft hier heel algemeen. Ik weet nu niet of de evaluatoren iets moesten zeggen over taalkundige fouten of over coherentie. Misschien raak ik nog onder de indruk als ik de bijlagen bij dit onderzoek zie, maar nu ben ik dat nog niet;NRC Handelsblad;2020-2024
8152;Het artikel maakt me vooral benieuwd of het systeem nieuwe argumenten kan vinden voor of tegen een gegeven stelling. Die argumenten mogen dan natuurlijk niet al aanwezig zijn in het materiaal waarop het systeem getraind is.;NRC Handelsblad;2020-2024
8153;Die argumenten mogen dan natuurlijk niet al aanwezig zijn in het materiaal waarop het systeem getraind is;NRC Handelsblad;2020-2024
8154;Een systeem als dit kan interessant zijn voor juridische toepassingen. Denk aan kunstmatige sparringpartners voor advocaten om zwakke punten in hun betoog te vinden. Ethisch gezien is het dan wel van belang te weten uit welke bronnen het systeem precies de informatie haalt.;NRC Handelsblad;2020-2024
8155;Denk aan kunstmatige sparringpartners voor advocaten om zwakke punten in hun betoog te vinden. Ethisch gezien is het dan wel van belang te weten uit welke bronnen het systeem precies de informatie haalt;NRC Handelsblad;2020-2024
8156;En Elon Musk mag wel een Tesla in de ruimte loslaten.;NRC Handelsblad;2020-2024
8157;Het heeft voor mij alles te maken met het idee dat je ziet wat je verwacht te zien. Zelfs als wat je verwacht een alien is. Ergens vind ik dat echt grappig.;NRC Handelsblad;2020-2024
8158;De foto's worden een onderdeel van mijn expositie in mei in de Pace Gallery in New York over hoe verschillende mensen naar hetzelfde kunnen kijken en tot extreem verschillende conclusies kunnen komen over wat ze zien. Ik probeer te doorgronden wat het betekent om te leven in een tijd waarin we het gevoel van een gedeelde werkelijkheid verliezen, op cultureel en vooral op politiek gebied. Maar waarom denkt iedereen meteen 'aliens!' als we iets onbekends aan de hemel zien? Ik denk dat het veel heeft te maken met onze eigentijdse folklore.;NRC Handelsblad;2020-2024
8159;Vreemd genoeg heeft het Amerikaanse leger een programma dat toegang geeft tot hun waarnemingen van voorwerpen aan de hemel. Ze delen wel de informatie over de baan waarin het object om de aarde beweegt, maar vertellen niet hoe groot het is of wat het is. Dat moet je zelf uitzoeken met een telescoop;NRC Handelsblad;2020-2024
8160;In het verleden heb ik vaak foto's gemaakt van de ruimte. Een van mijn nieuwe projecten gaat over de ongeveer tweehonderd objecten die in een baan om de aarde draaien waarvan niemand weet wat ze zijn. Ik probeer daar foto's van te maken met gewone en zeer snelle infrarood-telescopen.;NRC Handelsblad;2020-2024
8161;Het is goed zo, ik ben inmiddels overgestapt op andere stressveroorzakers.;NRC Handelsblad;2020-2024
8162;En ik heb duidelijk gemaakt dat de planetaire publieke ruimte gereguleerd is op het niveau van naties. De mislukking bewees dat op een heel ironische manier, want de overheid sloot vanwege een muur langs de Mexicaanse grens.;NRC Handelsblad;2020-2024
8163;Voor mij is dat de definitie van kunst.;NRC Handelsblad;2020-2024
8164;De foto's worden een onderdeel van mijn expositie in mei in de Pace Gallery in New York over hoe verschillende mensen naar hetzelfde kunnen kijken en tot extreem verschillende conclusies kunnen komen over wat ze zien. Ik probeer te doorgronden wat het betekent om te leven in een tijd waarin we het gevoel van een gedeelde werkelijkheid verliezen, op cultureel en vooral op politiek gebied. Maar waarom denkt iedereen meteen 'aliens!' als we iets onbekends aan de hemel zien? Ik denk dat het veel heeft te maken met onze eigentijdse folklore;NRC Handelsblad;2020-2024
8165;Dat maakt de Orbital Reflector anders dan al het andere dat in de ruimte is gebracht;NRC Handelsblad;2020-2024
8166;Mensen denken dat AI objectief en neutraal is, maar dat is het allesbehalve. Terwijl het een enorme invloed heeft op bijvoorbeeld de mogelijkheid om geld te lenen of een ziekteverzekering te sluiten;NRC Handelsblad;2020-2024
8167;Satellieten zijn voor mij gewoon een infrastructuur - simpelweg een uitbreiding van wat we op de grond hebben;NRC Handelsblad;2020-2024
8168;Om te laten zien hoe fucked-up het classificeren van mensen is;NRC Handelsblad;2020-2024
8169;Bij een nieuw project heb ik vooraf geen vast idee over de vorm die het gaat krijgen. Ik verken mogelijkheden, lees tonnen materiaal, kijk naar tonnen materiaal, tot ik een allegorie tegenkom die het beeld kan zijn voor de fundamentele vraag die ik wil stellen;NRC Handelsblad;2020-2024
8170;Met wie ik het vaakst praat en over wiens werk ik het meest nadenk, is Tomás Saraceno, een kunstenaar in Berlijn. En Hito Steyerl, die ook in Berlijn woont. Maar ik praat ook veel met mensen uit andere vakgebieden. Met Kate Crawford heb ik vaak samengewerkt, zij doet onderzoek naar AI en computer vision;NRC Handelsblad;2020-2024
8171;Absoluut 100 procent kunstenaar. Maar een kunstenaar die werkt op basis van onderzoek. Voor mij is kunst te weten komen hoe je de wereld om je heen kunt vatten. Dat klinkt misschien simpel, maar is best ingewikkeld. Vaak moet je erg veel research doen om goed te begrijpen wat je ziet. Je moet veel van artificiële intelligentie (AI) weten voordat je door de ogen van computersystemen naar de wereld kunt kijken. Dat geldt ook voor spionagesatellieten aan de hemel: je moet uitgebreid onderzoek doen om je op de juiste plaats te bevinden, en op het juiste moment met de juiste apparatuur in de goede richting te kijken;NRC Handelsblad;2020-2024
8172;Macht heb ik altijd verdacht gevonden. Er zijn altijd winnaars en verliezers en macht gaat altijd ten koste van iemand anders;NRC Handelsblad;2020-2024
8173;Het ging over hoe je zo'n plaats maakt.;NRC Handelsblad;2020-2024
8174;Ik ben totaal niet geïnteresseerd in zelfexpressie via kunst. Dat is niks voor mij. Maar onvermijdelijk stop je altijd iets van je zelf in wat je maakt;NRC Handelsblad;2020-2024
8175;Dat is inderdaad zo'n allegorie. Bij dat project over militaire geheimen had ik al over een miljoen perspectieven nagedacht totdat ik door een telescoop plotseling de overeenkomst met een impressionistisch schilderij zag;NRC Handelsblad;2020-2024
8176;Na het minimalisme gingen kunstenaars vanaf eind jaren zestig nadenken over de systemen waarbinnen kunst functioneert. Een post-minimalist die extreem veel invloed op mij heeft gehad is Hans Haacke, een Duitse kunstenaar die in de Verenigde Staten woont. Haacke maakt bijvoorbeeld kunstwerken over de financiering van een museum. Hij kijkt naar culturele instellingen als economische systemen. Niet denken over het autonome kunstobject, maar over de inbedding in grotere systemen. Zo kun je mijn satellietproject ook Orbital Reflector beschouwen: wat betekent dit object in de context van een ruimtevlucht en de militaire aspecten daarvan?;NRC Handelsblad;2020-2024
8177;Precies. Het heeft voor mij alles te maken met het idee dat je ziet wat je verwacht te zien. Zelfs als wat je verwacht een alien is. Ergens vind ik dat echt grappig.;NRC Handelsblad;2020-2024
8178;Het idee dat we eeuwig kunnen leven in de cloud, is geen wetenschap, maar 'n geloof.;NRC Handelsblad;2020-2024
8179;Ik heb me nooit senang gevoeld bij dat materialistische wereldbeeld, een koud, ontzield verhaal. Ik ben altijd op zoek gebleven naar een vorm van zingeving;NRC Handelsblad;2020-2024
8180;"Waar vroeger het christendom dat bijvoorbeeld deed, leven we nu in een tijd dat het dataïsme een alomvattend verhaal over onze werkelijkheid vertelt en dit ook deels heeft geïnstitutionaliseerd met big tech-bedrijven waar we allemaal op aangesloten zijn. Het idee dat het hele leven in data te vangen is, inclusief de menselijke geest, is geen harde wetenschap; dat is een geloofsartikel, iets wat je hoopt. Weinig mensen zijn zich daar bewust van. Eng is dat veel mensen die er dergelijke ideeën op nahouden ontzettend veel macht en invloed hebben. Het materialisme heeft de wereld ontzield door te stellen dat God niet bestaat. Dat levert een grote zingevingscrisis op in het Westen, kijk maar naar de depressiviteit en leegte die gepaard gaan met zo'n wereldbeeld. Wat ik ironisch vind, is dat we nu met datzelfde materialisme de wereld weer proberen te bezielen. Het lijkt erop dat we religieuze wezens zijn en dat die religieuze aspiraties een weg zoeken - dat komt nu tot uiting door technologie";NRC Handelsblad;2020-2024
8181;Die twee zitten best dicht bij elkaar. Waar ik het wel religieus vind, is het metafysische idee dat we eeuwig kunnen leven in de cloud door je bewustzijn te uploaden. Dat vind ik meer passen bij het geloof. Tegelijkertijd is het een ultieme vorm van kapitalisme dat je meest intieme gegevens, allemaal worden vermarkt. De cynische definitie van geloof is dat je een verhaal bedenkt om zo je macht te legitimeren. Zo gaat dat nu ook: de machthebbers zijn degenen die die technieken beheersen en begrijpen. Zij zeggen dat alles data is, dat de wetenschap dit bevestigt en dat we met die data de best mogelijke ordening van de samenleving kunnen bewerkstelligen. Daarmee verkopen we onze ziel, want in die filosofie is geen ruimte voor iets immaterieels.;NRC Handelsblad;2020-2024
8182;Omdat we niet weten wat bewustzijn precies is, kun je het volgend Lovelock niet hard testen. Het blijft dus gissen. Zelf denk ik dat áls technologie bewust is, het fundamenteel anders is dan ons bewustzijn. Wat Lovelock wel terecht stelt is dat het idee dat je daar controle over kunt hebben en houden nu al een illusie is;NRC Handelsblad;2020-2024
8183;We komen nu door middel van die technologie en onze inzichten in de aard van de werkelijkheid tot het besef dat ons bewustzijn misschien geen materialistisch proces is. Dat leidt weer tot een nieuwe metafysica, maar wel dankzij die technologie. Dat vind ik interessant, maar we moeten ons er wel altijd van bewust zijn dat het naïef is om te denken dat we zonder geloof of metafysische aannames kunnen;NRC Handelsblad;2020-2024
8184;Ik neem het allemaal metaforisch, we worden niet gestraft door God. Maar het lijkt wel het menselijke noodlot dat we in de wens de mens te verheffen onszelf nu in een chaos storten. Dat is de afgelopen twintig jaar wel gebeurd. We moeten kijken naar wat we als Westen allemaal weggegooid hebben sinds de Verlichting. De religies waren er niet alleen om de werkelijkheid te verklaren, maar ook om richting en zin in het leven te geven. En dat doet technologie vooralsnog niet;NRC Handelsblad;2020-2024
8185;Sinds zondagavond, na zo'n 24 uur van versterkte controle op sociale media, zie je dat er weer wat debat over de protesten is. Dat komt met name omdat één belangrijke politieke commentator, Hu Xijin, hierover iets gezegd heeft. Hij is de voormalige hoofdredacteur van de staatskrant Global Times en iemand die de publieke opinie vaak een beetje in goede banen leidt. Hij heeft het debat over het coronabeleid ietsje opengegooid.;NRC Handelsblad;2020-2024
8186;U weet wat ik wil zeggen;NRC Handelsblad;2020-2024
8187;Toen op donderdagavond onrust uitbrak in Ürümqi, was daarover vrijwel niets te vinden op Chinese sociale media. Wat daaraan voorafging, de grote brand die de aanleiding was voor de demonstraties, daar is wel van alles over te vinden geweest. Toen studenten in Nanjing en Xi'an zaterdag de slachtoffers van die brand herdachten, zongen en opstonden met witte papiertjes, was dat in het begin allemaal nog aardig te volgen op sociale media in China. Maar in de loop van de avond zag je dat de censuur toenam. Hoe groter het protest werd, hoe groter ook de controle op de sociale media;NRC Handelsblad;2020-2024
8188;de meest fundamentele taak van elke stichting die de nalatenschap van een kunstenaar beheert;NRC Handelsblad;2020-2024
8189;Ik rotzooi maar wat an' - die beroemde uitspraak van Appel, wordt altijd maar herhaald. Maar hij maakte vaak voorstudies, die hij op doek nauwgezet volgde.;NRC Handelsblad;2020-2024
8190;Het verleden heeft uitgewezen dat niemand onbevooroordeeld kan oordelen. Wij lachen nu om de kunsthistorici die de Vermeers van Han van Meegeren goedkeurden. Ten onrechte: zulke fouten zijn heel menselijk.;NRC Handelsblad;2020-2024
8191;Kunstmatige intelligentie heeft als voordeel dat het geen vooroordelen heeft;NRC Handelsblad;2020-2024
8192;Kunst blijft alleen leven zolang mensen erover blijven praten en schrijven.;NRC Handelsblad;2020-2024
8193;Dat soort fouten hebben alle kunstenaars gemaakt. Maar als wij denken dat een werk niet van Appel is, nemen we het niet op;NRC Handelsblad;2020-2024
8194;Wij hebben het laatste woord. Met een goede onderbouwing is er niets aan de hand.;NRC Handelsblad;2020-2024
8195;Wat hij na zijn Cobra-tijd maakte, zeg maar de laatste vijftig jaar van zijn leven, is slecht onderzocht. In de universitaire wereld is daar weinig kennis over voorhanden. Er valt nog heel veel te doen. De catalogus is daarbij een belangrijk instrument. Hopelijk zorgt het voor een nieuw discours en kan het jonge kunsthistorici inspireren tot onderzoek.;NRC Handelsblad;2020-2024
8196;Het probleem is hoeveel we niet weten;NRC Handelsblad;2020-2024
8197;teleurgesteld te zijn in het verzoek van zijn belangrijkste toezichthouder en spreekt van een stap terug in de ontwikkeling van Europese innovatie en kunstmatige intelligentie;NRC Handelsblad;2020-2024
8198;Ik bouw liever capaciteit voor het nodig is, dan als het te laat is.;NRC Handelsblad;2020-2024
8199;Volgens Zuckerberg ligt Meta AI op schema om tegen het eind van het jaar de meestgebruikte AI-assistent ter wereld te zijn.;NRC Handelsblad;2020-2024
8200;Ik gebruik die vermenigvuldiging als een dramaturgische tool om de interne dialoog van mijn personages zichtbaar te maken. Noem het een chirurgische ingreep om te laten zien wat er in het hoofd van een personage omgaat.;NRC Handelsblad;2020-2024
8201;Het is een manier om mijn personages diepte te geven. Bovendien denk ik dat veel mensen zich goed kunnen identificeren met een trauma. Het is een uitvergroting van de krassen die we allemaal meedragen op onze ziel. Dat maakt het een ideaal uitgangspunt voor opera. Uiteindelijk draait het daarin allemaal om een theatrale verkenning van de menselijke psyche.;NRC Handelsblad;2020-2024
8202;Het is een werk met een hoge informatie-dichtheid. Ik vind het fijn om die info in beeld en gesproken woord over te brengen, dat houdt de vaart erin. Bovendien vind ik het lastig om heel alledaagse teksten te laten zingen. Voor mij is dat niet waar opera over zou moeten gaan. De 'heightened reality' van muziek en zang zie ik in de eerste plaats als een middel om de emoties van mijn personages invoelbaar te maken voor het publiek.;NRC Handelsblad;2020-2024
